,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
183,300660,江苏雷利,--,--,--,3255.4838,--,--
184,2843,泰嘉股份,--,--,--,2096.7518,--,--
185,603819,神力股份,--,--,--,-1956.9045,--,--
186,300666,江丰电子,--,--,--,362.4002,--,--
187,2848,高斯贝尔,--,--,--,1321.5243,--,--
188,300670,大烨智能,--,--,--,-9777.6277,--,--
189,2852,道道全,--,--,--,-7238.1814,--,--
190,300675,建科院,--,--,--,-2134.0594,--,--
191,2857,三晖电气,--,--,--,5996.4277,--,--
192,603859,能科股份,--,--,--,582250.9477,--,--
193,300681,英搏尔,--,--,--,-39313.245,--,--
194,2861,瀛通通讯,--,--,--,-16724.6856,--,--
195,300688,创业黑马,--,--,--,501.8487,--,--
196,2866,传艺科技,--,--,--,2648.4583,--,--
197,603879,永悦科技,--,--,--,5382.2016,--,--
198,2870,香山股份,--,--,--,-5375.8392,--,--
199,603886,元祖股份,--,--,--,2953.2077,--,--
200,2881,美格智能,--,--,--,546.3912,--,--
201,2888,惠威科技,--,--,--,-11965.8435,--,--
202,603906,龙蟠科技,--,--,--,883.2123,--,--
203,603928,兴业股份,--,--,--,15702.0111,--,--
204,601882,海天精工,--,--,--,441.4808,--,--
205,603980,吉华集团,--,--,--,-2135.3823,--,--
206,603007,花王股份,--,--,--,253.0036,--,--
207,603035,常熟汽饰,--,--,--,1241.1275,--,--
208,603039,泛微网络,--,--,--,-903.3976,--,--
209,603058,永吉股份,--,--,--,-37062.7143,--,--
210,603069,海汽集团,--,--,--,6793.2962,--,--
211,603090,宏盛股份,--,--,--,24077.4762,--,--
212,603113,金能科技,--,--,--,83.3947,--,--
213,603131,上海沪工,--,--,--,2007.2837,--,--
214,603177,德创环保,--,--,--,-241.3019,--,--
215,603186,华正新材,--,--,--,949.928,--,--
216,603208,江山欧派,--,--,--,-3385.8218,--,--
217,603229,奥翔药业,--,--,--,1599.1106,--,--
218,603239,浙江仙通,--,--,--,2053.1617,--,--
219,603269,海鸥股份,--,--,--,-5660.2244,--,--
220,603320,迪贝电气,--,--,--,--,--,--
221,603335,迪生力,--,--,--,--,--,--
222,300523,辰安科技,--,--,--,425.8985,--,--
223,600919,江苏银行,--,--,--,--,--,--
224,603358,华达科技,--,--,--,4718.8309,--,--
225,300536,农尚环境,--,--,--,-1257.8502,--,--
226,603387,基蛋生物,--,--,--,--,--,--
227,300540,深冷股份,--,--,--,-338.8683,--,--
228,300545,联得装备,--,--,--,-2812.9849,--,--
229,300549,优德精密,--,--,--,1881.6174,--,--
230,600977,中国电影,--,--,--,-5076.8944,--,--
231,603501,韦尔股份,--,--,--,419.2807,--,--
232,300553,集智股份,--,--,--,-3228.2798,--,--
233,603517,绝味食品,--,--,--,31551.9955,--,--
234,300557,理工光科,--,--,--,1106.7278,--,--
235,300561,汇金科技,--,--,--,-26287.329,--,--
236,300566,激智科技,--,--,--,389.62,--,--
237,600996,贵广网络,--,--,--,65727.9976,--,--
238,300570,太辰光,--,--,--,-1783.8096,--,--
239,603579,荣泰健康,--,--,--,10104.3804,--,--
240,2817,黄山胶囊,--,--,--,-19496.9888,--,--
241,300635,达安股份,--,--,--,2038.6397,--,--
242,2821,凯莱英,--,--,--,1091.3453,--,--
243,300639,凯普生物,--,--,--,-1389.512,--,--
244,2825,纳尔股份,--,--,--,2311.8154,--,--
245,300643,万通智控,--,--,--,-5587.0305,--,--
246,2829,星网宇达,--,--,--,1203.151,--,--
247,300649,杭州园林,--,--,--,-6885.6928,--,--
248,2833,弘亚数控,--,--,--,143272.6583,--,--
249,300653,正海生物,--,--,--,-2756.1663,--,--
250,2838,道恩股份,--,--,--,1551.7797,--,--
251,300659,中孚信息,--,--,--,12825.8889,--,--
252,2842,翔鹭钨业,--,--,--,1702.4585,--,--
253,300665,飞鹿股份,--,--,--,121.9975,--,--
254,2847,盐津铺子,--,--,--,5841.2474,--,--
255,603826,坤彩科技,--,--,--,1586.019,--,--
256,300669,沪宁股份,--,--,--,11703.5443,--,--
257,2851,麦格米特,--,--,--,-2162.7756,--,--
258,603839,安正时尚,--,--,--,7085.5197,--,--
259,300673,佩蒂股份,--,--,--,--,--,--
260,601595,上海电影,--,--,--,8521.351,--,--
