,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1322,600858,银座股份,0.1078,0.1195,299.3076,0.1649,17.7175
1323,757,浩物股份,0.1076,0.059,1.3975,0.1328,22.5373
1324,2170,芭田股份,0.1076,0.0477,,0.0822,9.2481
1325,603615,茶花股份,0.1076,0.0542,0.8278,0.8484,88.219
1326,2920,德赛西威,0.1075,0.1039,1.0492,0.2578,29.4669
1327,920,南方汇通,0.1074,0.064,0.9158,0.137,21.0072
1328,338,潍柴动力,0.1073,0.0857,1.7714,0.122,20.7182
1329,600229,城市传媒,0.1072,0.0598,0.6349,0.1747,18.0397
1330,559,万向钱潮,0.1068,0.1033,1.2894,0.194,22.5531
1331,601888,中国国旅,0.1067,0.1441,1.0281,0.5096,52.4393
1332,603486,科沃斯,0.1066,0.1796,1.2941,0.3374,33.9157
1333,600856,中天能源,0.1066,0.0418,0.8925,0.071,13.9493
1334,600273,嘉化能源,0.1065,0.0687,0.6115,0.275,32.4684
1335,300285,国瓷材料,0.1065,0.0394,0.5,0.114,13.9016
1336,603286,日盈电子,0.1064,0.0593,1.0018,0.2297,23.4098
1337,300447,全信股份,0.1063,0.0341,0.4695,0.2383,24.8934
1338,300545,联得装备,0.1062,0.0476,0.8763,0.0934,9.3943
1339,600188,兖州煤业,0.1062,0.0824,2.0432,0.1366,25.4293
1340,2836,新宏泽,0.1062,0.0544,0.601,0.2888,29.4094
1341,581,威孚高科,0.1062,0.0473,0.3618,0.1963,22.2734
1342,600219,南山铝业,0.106,0.0393,1.0519,0.159,23.9508
1343,600789,鲁抗医药,0.106,0.053,2.1369,0.0888,15.9884
1344,2043,兔宝宝,0.1057,0.1633,1.1957,0.6102,63.3038
1345,571,新大洲A,0.1057,0.0327,3.7903,0.074,9.7671
1346,300585,奥联电子,0.1053,0.0654,0.6997,0.2266,25.7174
1347,300740,御家汇,0.1053,0.2022,1.0964,0.5473,63.8433
1348,2915,中欣氟材,0.1053,0.0615,0.8964,0.1821,18.9138
1349,2247,聚力文化,0.1053,0.0537,0.5875,0.3396,34.1078
1350,300038,数知科技,0.1052,0.0241,0.5843,0.1388,17.927
1351,300658,延江股份,0.1052,0.0755,0.8513,0.283,28.97
1352,966,长源电力,0.1051,0.0614,,0.0966,14.6445
1353,300126,锐奇股份,0.1051,0.045,13.2585,0.2358,24.4534
1354,2444,巨星科技,0.105,0.0568,0.8083,0.246,32.889
1355,2806,华锋股份,0.1049,0.0738,1.6299,0.1834,20.6183
1356,603701,德宏股份,0.1048,0.0628,0.6619,0.2074,24.7505
1357,603018,中设集团,0.1046,0.0551,0.9637,0.0939,9.4341
1358,758,中色股份,0.1045,0.0715,4.3704,0.103,12.7338
1359,300345,红宇新材,0.1045,0.0155,,0.0657,8.1222
1360,603218,日月股份,0.1043,0.0514,0.8427,0.2007,21.3822
1361,4,国农科技,0.1042,0.0537,2.4506,0.1704,20.5426
